SDD;EDN;SDD_num;EDN_num
Accident du travail;Certificats médicaux. Décès et législation;326;13
Accident du travail;Accidents du travail et maladies professionnelles : définition et enjeux;326;184
Accompagnement global d'un aidant;Les droits individuels et collectifs du patient;330;7
Accompagnement global d'un aidant;Organisation du système de soins. Sa régulation. Les indicateurs. Parcours de soins;330;16
Accompagnement global d'un aidant;Soins et accompagnement dans la maladie chronique et le handicap;330;119
Accompagnement global d'un aidant;Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (1). Principaux repères cliniques. Modalités d'organisation des équipes, en établissement de santé et en et en ambulatoire;330;139
Accompagnement global d'un aidant;Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (2). Accompagnement de la personne malade et de son entourage. Principaux repères éthiques;330;140
Accompagnement global d'un aidant;Deuil normal et pathologique;330;144
Acné;Contraception. (voir item 330);78;36
Acné;Puberté normale et pathologique;78;49
Acné;Dermatoses faciales : acné, rosacée, dermatite séborrhéique;78;111
Acné;Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;78;330
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Grossesse normale;264;23
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Prévention des risques fœtaux : infection, médicaments, toxiques, irradiation;264;27
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Allaitement maternel;264;33
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Prescription et surveillance des psychotropes (voir item 330);264;74
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Troubles de la marche et de l'équilibre;264;109
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);La personne âgée malade : particularités sémiologiques, psychologiques et thérapeutiques. (voir item 322);264;130
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Prescription et surveillance des anti-infectieux chez l'adulte et l'enfant (voir item 330);264;177
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Insuffisance respiratoire chronique;264;208
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Insuffisance cardiaque de l'adulte;264;234
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Insuffisance rénale chronique chez l'adulte et l'enfant;264;264
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Cirrhose et complications;264;279
